"id","nome","curso","periodo","nota_p1","nota_p2","frequencia","horas_estudo","modalidade","cidade","status"
845,"Fabio Castro","Enfermagem",3,6.8,5.4,94,3,"Presencial","Anapolis","Ativo"
846,"Joao Ferreira","Fisioterapia",4,7.2,6.3,66,2,"Presencial","Anapolis","Ativo"
847,"Beatriz Souza","Enfermagem",8,7.9,7.2,82,1,"Online","Goiania","Ativo"
848,"Natalia Pereira","Medicina",10,5.9,7,60,6,"Online","Anapolis","Ativo"
849,"Beatriz Moura","ADS",8,7.2,6.8,63,10,"Presencial","Goiania","Trancado"
850,"Nicolas Costa","Medicina",7,5,9.9,71,1,"Presencial","Anapolis","Ativo"
851,"Gustavo Carvalho","Enfermagem",7,7.9,,56,7,"Presencial","Anapolis","Jubilado"
852,"Eduarda Campos","Enfermagem",5,6.5,7.1,67,6,"Presencial","Aparecida de Goiania","Transferido"
853,"Breno Nunes","ADS",3,5.9,7.5,78,4,"Online","Goiania","Formado"
854,"Fernanda Moreira","Enfermagem",4,4.7,7.7,91,6,"Online","Brasilia","Ativo"
855,"Ingrid Ribeiro","Enfermagem",9,10,4,94,7,"Presencial","Brasilia","Ativo"
856,"Wanda Antunes","Medicina",4,9.1,5.7,58,2,"Presencial","Anapolis","Ativo"
857,"Patricia Oliveira","Medicina",8,5.8,4.2,66,3,"Presencial","Anapolis","Concluinte"
858,"Thiago Ramos","Enfermagem",5,5.1,3.6,76,7,"Presencial","Goiania","Ativo"
859,"Paula Vieira","Medicina",9,8.4,4.1,78,3,"Presencial","Anapolis","Ativo"
860,"Wanda Silva","ADS",5,15,4.7,67,1,"Hibrido","Aparecida de Goiania","Trancado"
861,"Marina Fernandes","ADS",1,8.8,10,69,10,"Online","Anapolis","Ativo"
862,"Felipe Pereira","Fisioterapia",1,3.4,5.7,100,5,"Presencial","Brasilia","Concluinte"
863,"Sandra Gomes","Enfermagem",10,6.6,5.8,76,9,"Presencial","Anapolis","Formado"
864,"Rafael Silva","Enfermagem",5,7.6,9.3,84,6,"Presencial","Goiania","Ativo"
865,"Ingrid Barbosa","Fisioterapia",7,4.1,6.5,73,9,"Presencial","Anapolis","Formado"
866,"Denise Alves","ADS",10,6.3,5.6,79,3,"Presencial","Aparecida de Goiania","Jubilado"
867,"Joao Mendes","Enfermagem",2,7.3,6.4,73,4,"Online","Rio Verde","Ativo"
868,"Fernanda Cunha","Fisioterapia",3,9.1,7.9,89,6,"Presencial","Rio Verde","Ativo"
869,"Ursula Ferreira","Fisioterapia",3,3.5,4.4,77,4,"Online","Anapolis","Afastado"
870,"Diego Moreira","Enfermagem",6,6.5,5.6,87,4,"Online","Brasilia","Ativo"
871,"Eduarda Pinto","Enfermagem",9,7.6,6.8,92,8,"Presencial","Anapolis","Ativo"
872,"Denise Farias","Medicina",8,4.3,7.9,73,6,"Hibrido","Aparecida de Goiania","Ativo"
873,"Olivia Azevedo","Medicina",3,4.4,6,88,6,"Presencial","Anapolis","Ativo"
874,"Otavia Farias","Enfermagem",6,7.4,8.4,84,5,"Hibrido","Anapolis","Ativo"
875,"Caio Rocha","ADS",2,6,7.3,71,5,"Presencial","Brasilia","Ativo"
876,"Larissa Antunes","Fisioterapia",10,9.9,8.1,91,3,"Presencial","Anapolis","Ativo"
877,"Carla Ramos","Medicina",5,6.5,4.6,59,11,"Hibrido","Rio Verde","Ativo"
878,"Isabela Alves","Medicina",5,8.9,5.9,70,9,"Hibrido","Brasilia","Concluinte"
879,"Fernanda Freitas","Fisioterapia",10,8,7.2,86,4,"Online","Goiania","Ativo"
880,"Ingrid Monteiro","Enfermagem",8,4.4,6.3,88,11,"Presencial","Brasilia","Transferido"
881,"Vanessa Vieira","Enfermagem",10,6.3,8.4,91,9,"Online","Aparecida de Goiania","Ativo"
882,"Fabio Reis","Medicina",7,6.9,4.1,100,5,"Presencial","Anapolis","Ativo"
883,"Vanessa Tavares","Fisioterapia",5,6.9,7.9,100,8,"Online","Aparecida de Goiania","Ativo"
884,"Mateus Costa","Fisioterapia",7,7.5,6.6,82,5,"Online","Brasilia","Ativo"
885,"Joao Ribeiro","ADS",3,6,6.5,81,12,"Online","Anapolis","Ativo"
886,"Ursula Pinto","Medicina",1,8.3,3.4,96,10,"Hibrido","Rio Verde","Ativo"
887,"Gabriela Lopes","Medicina",7,10,7.5,100,2,"Online","Goiania","Ativo"
888,"Patricia Reis","Medicina",6,8.8,9.3,75,6,"Hibrido","Anapolis","Ativo"
889,"Eduardo Nunes","Fisioterapia",10,6.7,6.3,85,3,"Presencial","Anapolis","Formado"
890,"Larissa Silva","ADS",7,5.3,6.8,84,5,"Online","Anapolis","Ativo"
891,"Wagner Araujo","Medicina",6,6.1,9.6,93,13,"Online","Anapolis","Ativo"
892,"Julia Machado","Medicina",2,3,5.5,67,4,"Online","Anapolis","Ativo"
893,"Paula Silva","ADS",9,5,9.3,71,5,"Presencial","Anapolis","Trancado"
894,"Helena Lima","Fisioterapia",8,7.5,8.9,102,6,"Presencial","Aparecida de Goiania","Jubilado"
895,"Karina Carvalho","Enfermagem",3,7.4,7.9,73,7,"Presencial","Anapolis","Ativo"
896,"Tiago Ramos","Enfermagem",3,7.7,7.7,75,7,"Hibrido","Goiania","Ativo"
897,"Julia Reis","ADS",4,7.1,9,96,12,"Presencial","Rio Verde","Jubilado"
898,"Kevin Castro","Fisioterapia",6,3.1,5.6,52,7,"Online","Brasilia","Trancado"
899,"Helena Santos","Enfermagem",4,4.5,6.7,65,6,"Presencial","Anapolis","Ativo"
900,"Livia Castro","Enfermagem",9,5.5,6.1,89,2,"Online","Anapolis","Ativo"
901,"Patricia Almeida","ADS",10,7.7,7.5,81,8,"Online","Brasilia","Trancado"
902,"Wagner Gomes","Fisioterapia",7,5.8,7.6,79,12,"Presencial","Aparecida de Goiania","Ativo"
903,"Olivia Nunes","Fisioterapia",6,8.5,8.6,69,1,"Hibrido","Aparecida de Goiania","Ativo"
904,"Eduarda Campos","Enfermagem",2,6.2,4.4,87,3,"Hibrido","Goiania","Transferido"
905,"Wagner Dias","Fisioterapia",3,8.3,6.6,79,1,"Online","Brasilia","Ativo"
906,"Julia Almeida","Enfermagem",5,7.1,8.9,88,7,"Hibrido","Aparecida de Goiania","Ativo"
907,"Beatriz Pinto","ADS",5,10,3.8,83,7,"Presencial","Goiania","Ativo"
908,"Caio Melo","Fisioterapia",9,8,3.2,55,5,"Hibrido","Brasilia","Ativo"
909,"Tiago Santos","Medicina",6,2.2,5.1,61,6,"Hibrido","Anapolis","Ativo"
910,"Otavio Castro","Fisioterapia",6,6,6.1,56,2,"Hibrido","Goiania","Ativo"
911,"Thiago Tavares","ADS",2,10,4.5,83,1,"Online","Anapolis","Ativo"
912,"Otavio Cruz","Enfermagem",2,5.7,5.9,54,5,"Presencial","Goiania","Ativo"
913,"Igor Lopes","Fisioterapia",6,7.3,10,75,3,"Hibrido","Aparecida de Goiania","Ativo"
914,"Bruno Nunes","Medicina",7,4.8,8.3,69,3,"Presencial","Brasilia","Ativo"
915,"Julia Batista","ADS",8,6.4,4.9,82,2,"Presencial","Brasilia","Jubilado"
916,"Tiago Rodrigues","Fisioterapia",3,4.9,4.9,82,5,"Hibrido","Goiania","Ativo"
917,"Fernanda Nascimento","Enfermagem",4,3.6,8.1,80,5,"Hibrido","Goiania","Ativo"
918,"Ingrid Cunha","Fisioterapia",3,6.1,4.9,65,5,"Presencial","Brasilia","Cancelado"
919,"Eduarda Antunes","Medicina",10,7.5,6.8,66,2,"Hibrido","Goiania","Ativo"
920,"Pedro Moura","ADS",6,6.6,4.7,83,5,"Online","Goiania","Formado"
921,"Nadia Barbosa","Enfermagem",2,6.2,4.5,70,9,"Presencial","Brasilia","Ativo"
922,"Diego Tavares","Medicina",6,8.5,6.5,66,5,"Presencial","Aparecida de Goiania","Trancado"
923,"Isabela Ribeiro","ADS",2,7.3,9.3,83,3,"Presencial","Anapolis","Jubilado"
924,"Otavia Campos","Enfermagem",7,8.8,9,92,6,"Hibrido","Goiania","Cancelado"
925,"Helena Silva","Enfermagem",8,6.2,8.4,100,6,"Online","Anapolis","Ativo"
926,"Otavio Farias","ADS",1,7.4,8.8,86,4,"Online","Aparecida de Goiania","Ativo"
927,"Henrique Batista","Fisioterapia",2,5.6,5.3,87,4,"Presencial","Rio Verde","Ativo"
928,"Gustavo Rodrigues","Medicina",3,8,7,82,4,"Presencial","Anapolis","Ativo"
929,"Mateus Cardoso","Fisioterapia",7,4.7,8.6,63,10,"Presencial","Goiania","Ativo"
930,"Caio Batista","Medicina",6,8.4,5.9,60,4,"Online","Rio Verde","Cancelado"
931,"Lucas Barbosa","Enfermagem",1,6.6,10,67,5,"Presencial","Brasilia","Formado"
932,"Larissa Melo","Enfermagem",3,5.9,9.3,84,2,"Hibrido","Anapolis","Ativo"
933,"Felipe Monteiro","ADS",3,7.4,6.2,73,6,"Hibrido","Brasilia","Transferido"
934,"Yasmin Rodrigues","ADS",6,8.1,8.8,66,1,"Hibrido","Aparecida de Goiania","Ativo"
935,"Patricia Antunes","ADS",10,8.5,3,82,14,"Hibrido","Goiania","Ativo"
936,"Sofia Castro","Medicina",1,6,3.3,91,8,"Online","Brasilia","Ativo"
937,"Paula Araujo","Enfermagem",1,7,6.2,74,7,"Online","Brasilia","Afastado"
938,"Otavio Lopes","Fisioterapia",5,10,6.1,77,4,"Presencial","Anapolis","Ativo"
939,"Breno Monteiro","Medicina",10,7.5,6.1,90,5,"Presencial","Brasilia","Ativo"
940,"Breno Azevedo","ADS",8,3.5,5.5,69,3,"Presencial","Aparecida de Goiania","Ativo"
941,"Isabela Pinto","Fisioterapia",7,8.2,9,83,3,"Hibrido","Anapolis","Ativo"
942,"Elena Santos","Enfermagem",10,7.7,7.4,93,10,"Hibrido","Anapolis","Ativo"
943,"Mateus Souza","Medicina",1,5.3,5.7,90,9,"Hibrido","Goiania","Ativo"
944,"Camila Melo","Fisioterapia",8,4.6,5.1,100,4,"Hibrido","Goiania","Trancado"
945,"Diego Cruz","Fisioterapia",10,6.4,7.2,95,2,"Hibrido","Goiania","Transferido"
946,"Eduarda Vieira","ADS",9,9.5,8.7,65,12,"Presencial","Goiania","Ativo"
947,"Eduardo Azevedo","ADS",10,8.7,6,69,3,"Presencial","Goiania","Cancelado"
948,"Helena Nunes","Medicina",2,2.4,8.2,85,4,"Presencial","Goiania","Ativo"
949,"Hugo Ribeiro","Medicina",9,7.3,8.9,71,3,"Hibrido","Anapolis","Ativo"
950,"Felipe Cruz","Enfermagem",9,6.2,8.4,100,4,"Hibrido","Brasilia","Ativo"
951,"Denise Melo","Fisioterapia",5,7.9,7.8,75,9,"Presencial","Rio Verde","Ativo"
952,"Nicolas Fernandes","Medicina",3,5.8,6.4,89,5,"Hibrido","Brasilia","Trancado"
953,"Paula Farias","Medicina",4,8.9,3.3,93,7,"Online","Brasilia","Jubilado"
954,"Wagner Machado","Enfermagem",4,9.2,3.7,87,8,"Online","Anapolis","Ativo"
955,"Ricardo Melo","Medicina",6,6.4,7.7,73,9,"Presencial","Goiania","Ativo"
956,"Larissa Vieira","Fisioterapia",3,6.8,4.4,100,7,"Online","Brasilia","Cancelado"
957,"Vanessa Pires","ADS",8,7.3,3.8,85,4,"Hibrido","Goiania","Formado"
958,"Vitor Monteiro","ADS",1,5.9,8.5,88,5,"Online","Goiania","Jubilado"
959,"Carla Lopes","Medicina",9,10,5.6,92,8,"Hibrido","Anapolis","Ativo"
960,"Ana Lima","Enfermagem",1,4.7,8.8,80,7,"Presencial","Brasilia","Jubilado"
961,"Diego Campos","Enfermagem",2,8.1,5.9,90,4,"Presencial","Goiania","Ativo"
962,"Ursula Vieira","Medicina",9,6,8.3,86,10,"Presencial","Aparecida de Goiania","Jubilado"
963,"Marcelo Rocha","Enfermagem",3,7.4,6.5,90,6,"Hibrido","Aparecida de Goiania","Formado"
964,"Otavia Melo","ADS",2,5.1,6.6,54,3,"Hibrido","Aparecida de Goiania","Formado"
965,"Bruno Nunes","Medicina",9,9.2,7.9,102,1,"Online","Anapolis","Ativo"
966,"Nadia Rocha","Enfermagem",4,4.9,6.5,87,9,"Online","Anapolis","Ativo"
967,"Julia Lima","Fisioterapia",3,5.9,9.3,86,5,"Presencial","Anapolis","Ativo"
968,"Bruno Gomes","Enfermagem",9,9.3,5.6,87,4,"Presencial","Goiania","Ativo"
969,"Sofia Almeida","Enfermagem",4,6,9.5,71,3,"Hibrido","Goiania","Ativo"
970,"Pedro Lima","Enfermagem",6,3.3,4.5,56,10,"Presencial","Brasilia","Concluinte"
971,"Pedro Almeida","Medicina",2,7.6,5.7,74,7,"Presencial","Goiania","Ativo"
972,"Xavier Ramos","Enfermagem",8,6.4,7.9,80,5,"Hibrido","Anapolis","Ativo"
973,"Renato Ferreira","Medicina",7,10,6.6,97,4,"Online","Aparecida de Goiania","Trancado"
974,"Lucas Pereira","Enfermagem",4,7.9,4.8,80,5,"Online","Anapolis","Ativo"
975,"Eduarda Dias","Enfermagem",7,5.2,7.8,99,9,"Presencial","Goiania","Formado"
976,"Otavia Ribeiro","Enfermagem",8,8.2,6.4,59,7,"Hibrido","Anapolis","Formado"
977,"Diego Andrade","Fisioterapia",1,8.5,8.6,97,13,"Presencial","Anapolis","Ativo"
978,"Tiago Lopes","Fisioterapia",4,4.2,8.5,56,4,"Hibrido","Anapolis","Ativo"
979,"Breno Pereira","Fisioterapia",2,5.1,7,88,4,"Online","Rio Verde","Transferido"
980,"Lucas Rocha","Medicina",8,7.3,6.6,86,5,"Hibrido","Rio Verde","Ativo"
981,"Pedro Alves","ADS",10,7.7,6.3,62,9,"Presencial","Brasilia","Ativo"
982,"Beatriz Santos","ADS",6,7.7,4.5,64,5,"Presencial","Brasilia","Ativo"
983,"Sofia Araujo","ADS",9,4.8,6.6,38,6,"Presencial","Anapolis","Ativo"
984,"Larissa Barbosa","Medicina",9,8.8,7,63,12,"Online","Anapolis","Ativo"
985,"Sandra Cruz","Enfermagem",10,8.1,5.3,67,2,"Presencial","Anapolis","Ativo"
986,"Fabio Fernandes","Enfermagem",4,5.8,9.7,74,3,"Online","Goiania","Ativo"
987,"Julio Almeida","Medicina",4,3.2,6,76,2,"Hibrido","Anapolis","Ativo"
988,"Lucas Cardoso","ADS",7,8.5,9,100,7,"Hibrido","Goiania","Jubilado"
989,"Nadia Pires","ADS",5,3.5,6.7,90,4,"Online","Goiania","Ativo"
990,"Giovana Pereira","Enfermagem",7,6.4,7.4,83,5,"Presencial","Anapolis","Ativo"
991,"Olivia Rodrigues","Enfermagem",2,6.2,9.1,78,9,"Hibrido","Aparecida de Goiania","Formado"
992,"Renato Fernandes","Fisioterapia",4,4.8,7.7,71,6,"Presencial","Anapolis","Trancado"
993,"Nadia Dias","Medicina",6,9.2,10,90,6,"Hibrido","Anapolis","Ativo"
994,"Helena Moura","Enfermagem",6,7.6,6.7,73,10,"Hibrido","Anapolis","Ativo"
995,"Vitor Pires","Fisioterapia",2,5.2,7.9,62,6,"Hibrido","Brasilia","Jubilado"
996,"Olivia Melo","ADS",3,6.3,6.2,98,8,"Presencial","Brasilia","Formado"
997,"Ricardo Farias","Medicina",3,6.6,7.8,79,1,"Hibrido","Brasilia","Transferido"
998,"Pedro Castro","Fisioterapia",9,8.1,7.4,77,8,"Hibrido","Brasilia","Formado"
999,"Wagner Gomes","Enfermagem",8,7,5.9,74,3,"Presencial","Brasilia","Afastado"
1000,"Otavio Santos","Enfermagem",9,6.5,6.7,72,3,"Presencial","Aparecida de Goiania","Ativo"
